Fselected_month,month_label,plantation,region,year,year_label,estate,division,division_key,code,divisional_yield,estate_yield,regional_average,benchmark,benchmark_80,benchmark_70,benchmark_50,bush_count,estate_extend,divisional_extend,hectare,stand_per_ha,average_rounds,monthly_rounds,green_leaf,division_pct
2026-01,Jan 2026,TTEL,TK,First_Year,1st YEAR VP YIELD,Bearwell,Bearwell,TTEL|TK|Bearwell|Bearwell|BW,BW,463.0,1050.0,953.0,1252.0,1002.0,876.0,626.0,0.0,298.27,69.14,5.5,0.0,13.3,1.3,2153.0,8.0
2026-01,Jan 2026,TTEL,TK,First_Year,1st YEAR VP YIELD,Bearwell,Belgravia,TTEL|TK|Bearwell|Belgravia|BG,BG,1217.0,1050.0,953.0,1252.0,1002.0,876.0,626.0,0.0,298.27,63.47,16.09,0.0,34.9,3.5,5659.0,25.0
2026-01,Jan 2026,TTEL,TK,First_Year,1st YEAR VP YIELD,Bearwell,Fairfield,TTEL|TK|Bearwell|Fairfield|FF,FF,1093.0,1050.0,953.0,1252.0,1002.0,876.0,626.0,0.0,298.27,82.91,7.73,0.0,31.4,3.1,5082.0,9.0
2026-01,Jan 2026,TTEL,TK,First_Year,1st YEAR VP YIELD,Bearwell,Walaha,TTEL|TK|Bearwell|Walaha|WA,WA,1137.0,1050.0,953.0,1252.0,1002.0,876.0,626.0,0.0,298.27,82.75,2.5,0.0,32.6,3.3,5287.0,3.0
2026-01,Jan 2026,TTEL,TK,First_Year,1st YEAR VP YIELD,GreatWestern,Galkandawatte,TTEL|TK|GreatWestern|Galkandawatte|GA,GA,846.0,912.0,953.0,1252.0,1002.0,876.0,626.0,0.0,379.29,91.96,13.100000000000001,0.0,24.3,2.4,3934.0,14.0
2026-01,Jan 2026,TTEL,TK,First_Year,1st YEAR VP YIELD,GreatWestern,GreatWestern,TTEL|TK|GreatWestern|GreatWestern|GW,GW,938.0,912.0,953.0,1252.0,1002.0,876.0,626.0,0.0,379.29,90.0,12.3,0.0,26.9,2.7,4362.0,14.0
2026-01,Jan 2026,TTEL,TK,First_Year,1st YEAR VP YIELD,GreatWestern,Louisa,TTEL|TK|GreatWestern|Louisa|LO,LO,963.0,912.0,953.0,1252.0,1002.0,876.0,626.0,0.0,379.29,112.13,19.38,0.0,27.6,2.8,4478.0,17.0
2026-01,Jan 2026,TTEL,TK,First_Year,1st YEAR VP YIELD,GreatWestern,Scalpa,TTEL|TK|GreatWestern|Scalpa|SC,SC,883.0,912.0,953.0,1252.0,1002.0,876.0,626.0,0.0,379.29,85.2,14.5,0.0,25.3,2.5,4106.0,17.0
2026-01,Jan 2026,TTEL,TK,First_Year,1st YEAR VP YIELD,Holyrood,East-Rath,TTEL|TK|Holyrood|East-Rath|ER,ER,1017.0,963.0,953.0,1252.0,1002.0,876.0,626.0,0.0,317.1,166.73,27.75,0.0,29.2,2.9,4729.0,17.0
2026-01,Jan 2026,TTEL,TK,First_Year,1st YEAR VP YIELD,Holyrood,Lower,TTEL|TK|Holyrood|Lower|HL,HL,742.0,963.0,953.0,1252.0,1002.0,876.0,626.0,0.0,317.1,71.47,9.25,0.0,21.3,2.1,3450.0,13.0
