estate,division,field_no,age_months,sd_vp,hect,crop,yph,code
Annfield,Annfield,1,39.0,SD,1.0,636.0,636.0,AF
Annfield,Annfield,BL8,4.0,VP,3.0,1797.0,599.0,AF
Annfield,Annfield,BL5,4.0,VP,3.0,2064.0,688.0,AF
Annfield,Annfield,BL6,12.0,VP,6.0,6150.0,1025.0,AF
Annfield,Annfield,2A,30.0,VP,3.0,4233.0,1411.0,AF
Annfield,Annfield,5A1,32.0,VP,1.0,1485.0,1485.0,AF
Annfield,Annfield,2B,34.0,VP,3.0,4062.0,1354.0,AF
Annfield,Annfield,BL4,39.0,VP,6.0,8232.0,1372.0,AF
Annfield,Annfield,4A,49.0,VP,5.0,5795.0,1159.0,AF
Annfield,Annfield,BL3,53.0,VP,5.0,7310.0,1462.0,AF
Annfield,Annfield,5B,54.0,VP,2.0,2792.0,1396.0,AF
Annfield,Annfield,BL7,58.0,VP,4.0,5288.0,1322.0,AF
Annfield,Annfield,5A2,59.0,VP,1.0,1392.0,1392.0,AF
Annfield,Erslmare,N2,4.0,VP,3.0,1956.0,652.0,ELMS
Annfield,Erslmare,24,4.0,VP,4.0,2696.0,674.0,ELMS
Annfield,Erslmare,25,4.0,VP,6.0,3270.0,545.0,ELMS
Annfield,Erslmare,M2,10.0,VP,3.0,1581.0,527.0,ELMS
Annfield,Erslmare,M1,21.0,VP,4.0,4312.0,1078.0,ELMS
Annfield,Erslmare,P,39.0,VP,5.0,8550.0,1710.0,ELMS
Annfield,Erslmare,L,48.0,VP,2.0,3328.0,1664.0,ELMS
Annfield,Erslmare,I,52.0,VP,4.0,5872.0,1468.0,ELMS
Annfield,Erslmare,N1,58.0,VP,5.0,8020.0,1604.0,ELMS
Annfield,Barkindale,E,4.0,VP,4.25,2618.0,616.0,BK
Annfield,Barkindale,A,15.0,VP,6.0,9012.0,1502.0,BK
Annfield,Barkindale,B,32.0,VP,3.0,5079.0,1693.0,BK
Annfield,Barkindale,D,41.0,VP,5.5,8877.0,1614.0,BK
Annfield,Barkindale,C,53.0,VP,3.0,4704.0,1568.0,BK
Annfield,Kinloch,2B,5.0,VP,3.0,1962.0,654.0,KL
Annfield,Kinloch,4B,5.0,VP,3.0,1575.0,525.0,KL
Annfield,Kinloch,3,16.0,VP,3.0,2934.0,978.0,KL
Annfield,Kinloch,4A,24.0,VP,4.0,5824.0,1456.0,KL
Annfield,Kinloch,6B,30.0,VP,4.0,5724.0,1431.0,KL
Annfield,Kinloch,5,35.0,VP,1.0,1382.0,1382.0,KL
Annfield,Kinloch,7B,39.0,VP,3.0,4647.0,1549.0,KL
Annfield,Kinloch,2A,47.0,VP,4.0,6236.0,1559.0,KL
Annfield,Kinloch,7A,51.0,VP,3.0,4353.0,1451.0,KL
Annfield,Kinloch,6A,58.0,VP,5.0,7095.0,1419.0,KL
Annfield,StLeys,4,59.0,SD,4.0,1728.0,432.0,St.L
Annfield,StLeys,BL/C,5.0,VP,3.0,2091.0,697.0,St.L
Annfield,StLeys,4A1,22.0,VP,1.0,2200.0,2200.0,St.L
Annfield,StLeys,BL/A,27.0,VP,4.0,7596.0,1899.0,St.L
Annfield,StLeys,BL/B,36.0,VP,4.0,7908.0,1977.0,St.L
Annfield,StamfordHill,8,4.0,VP,3.0,2253.0,751.0,SH
Annfield,StamfordHill,9,5.0,VP,4.0,2428.0,607.0,SH
Annfield,StamfordHill,3,5.0,VP,4.0,3256.0,814.0,SH
Annfield,StamfordHill,1A,9.0,VP,5.0,2360.0,472.0,SH
Annfield,StamfordHill,2,19.0,VP,4.0,7412.0,1853.0,SH
Annfield,StamfordHill,1,26.0,VP,5.0,6880.0,1376.0,SH
Annfield,StamfordHill,6,35.0,VP,4.0,5916.0,1479.0,SH
Annfield,StamfordHill,7,46.0,VP,3.0,4809.0,1603.0,SH
Annfield,StamfordHill,4,53.0,VP,4.0,6292.0,1573.0,SH
Annfield,StamfordHill,5,58.0,VP,6.5,9854.0,1516.0,SH
Battalgalla,Upper,7,4.0,VP,4.0,2904.0,726.0,BUP
Battalgalla,Upper,7C,5.0,VP,4.0,2852.7243,713.181075,BUP
Battalgalla,Upper,8A2,5.0,VP,1.0,622.0891,622.0891,BUP
Battalgalla,Upper,7A,6.0,VP,2.0,1368.0,684.0,BUP
Battalgalla,Upper,7B,10.0,VP,3.5,3580.5,1023.0,BUP
Battalgalla,Upper,3B,13.0,VP,4.0,5080.0,1270.0,BUP
Battalgalla,Upper,8A1,16.0,VP,1.0,1418.0,1418.0,BUP
Battalgalla,Upper,11,18.0,VP,4.0,6102.4934,1525.62335,BUP
