estate,division,field_no,bc,age_months,sd_vp,hect,crop,yph,code
Halgolla,Punugala,36,32200,4,VP,4.0,680.0,170.0,PG
Halgolla,Punugala,18,47375,6,VP,8.9,1726.6000000000001,194.0,PG
Halgolla,Punugala,43,5952,15,VP,1.5,1062.0,708.0,PG
Halgolla,Punugala,17,8936,18,VP,4.55,1378.6499999999999,303.0,PG
Halgolla,Punugala,20,6603,20,VP,1.55,1117.55,721.0,PG
Halgolla,Punugala,44,16550,20,VP,2.0,2826.0,1413.0,PG
Halgolla,Punugala,42,17346,21,VP,3.0,2619.0,873.0,PG
Halgolla,Punugala,22,5706,28,VP,2.77,1102.46,398.0,PG
Halgolla,Punugala,39,5263,29,VP,1.25,1405.0,1124.0,PG
Halgolla,Punugala,41,22269,32,VP,3.0,3723.0,1241.0,PG
Halgolla,Punugala,23,16770,33,VP,3.9,2148.9,551.0,PG
Halgolla,Punugala,15,4498,38,VP,3.57,1456.56,408.0,PG
Halgolla,Punugala,40,33925,40,VP,3.4,4447.2,1308.0,PG
Halgolla,Weweltalawa,8,57143,3,VP,6.85,2123.5,310.0,WWL
Halgolla,Weweltalawa,2A,64923,5,VP,7.74,921.0600000000001,119.0,WWL
Halgolla,Weweltalawa,5,53343,5,VP,6.48,174.96,27.0,WWL
Halgolla,Weweltalawa,2007,12338,5,VP,1.0,1173.0,1173.0,WWL
Halgolla,Weweltalawa,1,82224,16,VP,9.22,6297.26,683.0,WWL
Halgolla,Weweltalawa,2B,22180,16,VP,2.91,1062.15,365.0,WWL
Halgolla,Weweltalawa,3,76151,18,VP,8.63,5868.400000000001,680.0,WWL
Halgolla,Weweltalawa,7,73586,20,VP,8.51,1114.81,131.0,WWL
Halgolla,Weweltalawa,26,14433,22,VP,2.02,2127.06,1053.0,WWL
Halgolla,Weweltalawa,6B,42011,27,VP,4.97,3692.71,743.0,WWL
Halgolla,Weweltalawa,6A,45144,28,VP,5.5,5896.0,1072.0,WWL
Halgolla,Weweltalawa,2008,12220,28,VP,1.0,1773.0,1773.0,WWL
Halgolla,Weweltalawa,4,93798,37,VP,10.71,10913.490000000002,1019.0,WWL
Halgolla,Weweltalawa,6,23268,5,VP,3.05,4334.05,1421.0,WWL
Halgolla,Weweltalawa,5A,82394,47,VP,9.31,3854.34,414.0,WWL
Halgolla,Weweltalawa,2,34530,61,VP,4.05,2231.5499999999997,551.0,WWL
Halgolla,Weweltalawa,2006,11718,61,VP,1.0,0.0,0.0,WWL
Halgolla,Halgolla,25,22001,37,VP,4.5,2556.0,568.0,HG
Halgolla,Halgolla,38,16000,35,VP,2.0,3386.0,1693.0,HG
Halgolla,Halgolla,10,5899,54,VP,3.65,3237.5499999999997,887.0,HG
Halgolla,Halgolla,12,12400,50,VP,6.61,3146.36,476.0,HG
Halgolla,Halgolla,24,12408,37,VP,2.5,2500.0,1000.0,HG
Halgolla,Halgolla,37,10500,36,VP,2.5,3375.0,1350.0,HG
Halgolla,Halgolla,12B,12848,41,VP,3.6,2163.6,601.0,HG
Halgolla,Ullswater,35,3724,4,VP,1.0,667.0,667.0,UW
Halgolla,Ullswater,33,9250,7,VP,2.02,723.16,358.0,UW
Halgolla,Ullswater,29,9543,18,VP,1.56,624.0,400.0,UW
