estate,division,field_no,age_months,sd_vp,hect,crop,yph,code
Eildonhall,EILDONHALL,18,2,VP,3.61,3267.0744999999997,905.006786703601,EH
Eildonhall,EILDONHALL,20,5,VP,8.77,3869.437999999999,441.21299885974906,EH
Eildonhall,EILDONHALL,24,8,VP,5.78,2111.1687,365.2541003460208,EH
Eildonhall,EILDONHALL,22,11,VP,7.43,7095.749500000001,955.0133916554511,EH
Eildonhall,EILDONHALL,28,13,VP,4.0,6910.984799999999,1727.7461999999998,EH
Eildonhall,EILDONHALL,27,13,VP,2.39,3407.992399999999,1425.9382426778238,EH
Eildonhall,EILDONHALL,17,13,VP,3.9,4187.5835,1073.739358974359,EH
Eildonhall,EILDONHALL,12,16,VP,6.01,7246.1394,1205.6804326123129,EH
Eildonhall,EILDONHALL,30,17,VP,3.0,4175.3389,1391.7796333333333,EH
Eildonhall,EILDONHALL,31,22,VP,2.0,3112.6543,1556.32715,EH
Eildonhall,EILDONHALL,9A,23,VP,1.0,1882.388,1882.388,EH
Eildonhall,EILDONHALL,7C,23,VP,2.16,3744.7243999999996,1733.6687037037034,EH
Eildonhall,EILDONHALL,7F,0,VP,0.5,1120.1544,2240.3088,EH
Eildonhall,EILDONHALL,19,27,VP,2.38,3939.4228,1655.2196638655462,EH
Eildonhall,EILDONHALL,15A,29,VP,5.0,8811.5518,1762.31036,EH
Eildonhall,EILDONHALL,15B,29,VP,4.31,7804.2748,1810.7366125290025,EH
Eildonhall,EILDONHALL,16,31,VP,4.0,5392.352599999999,1348.0881499999998,EH
Eildonhall,EILDONHALL,7A,41,VP,2.2,3244.443,1474.746818181818,EH
Eildonhall,EILDONHALL,13,45,VP,7.32,7819.809000000001,1068.279918032787,EH
Eildonhall,EILDONHALL,11A,51,VP,5.0,7016.4054,1403.28108,EH
Eildonhall,EILDONHALL,11B,51,VP,5.0,6897.0296,1379.40592,EH
Eildonhall,EILDONHALL,8,9,SD,3.56,1811.211,508.7671348314607,EH
Eildonhall,EILDONHALL,10,20,SD,4.99,5645.791499999999,1131.421142284569,EH
Eildonhall,EILDONHALL,1B,25,SD,8.13,7664.700599999999,942.7676014760145,EH
Eildonhall,EILDONHALL,7,35,SD,3.56,3501.7691999999997,983.6430337078651,EH
Eildonhall,EILDONHALL,4,37,SD,6.86,5418.057,789.8042274052477,EH
Eildonhall,EILDONHALL,6B,43,SD,7.5,6295.3291,839.3772133333333,EH
Eildonhall,EILDONHALL,6A,55,SD,7.71,4815.7156,624.6064332036317,EH
Tillicoultry,TILLICOULTRY,6A,2,VP,4.25,2891.7622,680.4146352941177,TC
Tillicoultry,TILLICOULTRY,4,5,VP,4.2,1569.0351999999998,373.57980952380944,TC
Tillicoultry,TILLICOULTRY,6B,7,VP,6.0,1001.7307999999999,166.95513333333332,TC
Tillicoultry,TILLICOULTRY,7A,11,VP,3.75,4137.476,1103.3269333333333,TC
Tillicoultry,TILLICOULTRY,7B,13,VP,3.75,4497.505300000001,1199.334746666667,TC
Tillicoultry,TILLICOULTRY,1B,14,VP,3.0,4224.338100000001,1408.1127000000004,TC
Tillicoultry,TILLICOULTRY,1A,15,VP,3.25,4666.4085000000005,1435.8180000000002,TC
Tillicoultry,TILLICOULTRY,10,24,VP,6.5,9748.480199999998,1499.7661846153844,TC
Tillicoultry,TILLICOULTRY,5A,25,VP,4.0,6909.0012,1727.2503,TC
Tillicoultry,TILLICOULTRY,16A,35,VP,1.5,2037.3463000000002,1358.2308666666668,TC
Tillicoultry,TILLICOULTRY,11A,41,VP,2.75,4350.1228,1581.8628363636365,TC
Tillicoultry,TILLICOULTRY,11B,19,SD,6.75,4702.7821,696.7084592592593,TC
Tillicoultry,TILLICOULTRY,1&4,26,SD,2.0,2529.2926,1264.6463,TC
Tillicoultry,TILLICOULTRY,3,29,SD,7.5,7126.7189,950.2291866666667,TC
Tillicoultry,TILLICOULTRY,8,30,SD,7.2,6388.1045,887.2367361111111,TC
Tillicoultry,TILLICOULTRY,14,35,SD,9.5,8659.3141,911.506747368421,TC
Tillicoultry,TILLICOULTRY,16B,41,SD,6.5,6794.8904999999995,1045.3677692307692,TC
Tillicoultry,TILLICOULTRY,5B,46,SD,8.25,8059.222600000001,976.8754666666667,TC
Tillicoultry,MOUSA ELLA LOWER DIV,4B,2,VP,3.75,2777.0388000000003,740.5436800000001,ME L
Tillicoultry,MOUSA ELLA LOWER DIV,8,4,VP,4.0,2325.8046,581.45115,ME L
Tillicoultry,MOUSA ELLA LOWER DIV,4A,5,VP,3.75,1595.9580999999998,425.58882666666665,ME L
Tillicoultry,MOUSA ELLA LOWER DIV,9B,8,VP,4.0,1483.8690000000001,370.96725000000004,ME L
Tillicoultry,MOUSA ELLA LOWER DIV,9C,11,VP,4.0,4425.6341,1106.408525,ME L
Tillicoultry,MOUSA ELLA LOWER DIV,6A,16,VP,2.25,3082.8264,1370.1450666666667,ME L
Tillicoultry,MOUSA ELLA LOWER DIV,9A,19,VP,5.0,5884.7556,1176.9511200000002,ME L
Tillicoultry,MOUSA ELLA LOWER DIV,1A,22,VP,4.75,5897.0397,1241.4820421052632,ME L
Tillicoultry,MOUSA ELLA LOWER DIV,2B,27,VP,6.0,7777.3915000000015,1296.2319166666668,ME L
Tillicoultry,MOUSA ELLA LOWER DIV,3,28,VP,3.0,4704.113200000001,1568.0377333333336,ME L
Tillicoultry,MOUSA ELLA LOWER DIV,3&5,30,VP,5.75,7365.1089999999995,1280.8885217391303,ME L
Tillicoultry,MOUSA ELLA LOWER DIV,7A,36,VP,4.5,4997.317300000001,1110.5149555555556,ME L
Tillicoultry,MOUSA ELLA LOWER DIV,5,14,SD,6.0,5478.902,913.1503333333334,ME L
Tillicoultry,MOUSA ELLA LOWER DIV,2A3,34,SD,3.39,2723.5025,803.3930678466077,ME L
Tillicoultry,MOUSA ELLA LOWER DIV,1B,0,SD,3.0,2516.4534000000003,838.8178000000001,ME L
Tillicoultry,MOUSA ELLA UPPER DIV,10A,8,VP,6.0,2714.5886,452.43143333333336,ME U
Tillicoultry,MOUSA ELLA UPPER DIV,10B,15,VP,6.0,6914.705899999999,1152.4509833333332,ME U
Tillicoultry,MOUSA ELLA UPPER DIV,15A,25,VP,6.0,7212.4118,1202.0686333333333,ME U
Tillicoultry,MOUSA ELLA UPPER DIV,15B,27,VP,6.25,6791.122200000001,1086.5795520000001,ME U
Tillicoultry,MOUSA ELLA UPPER DIV,14A,30,VP,6.0,9489.6963,1581.6160499999999,ME U
Tillicoultry,MOUSA ELLA UPPER DIV,13,35,VP,6.0,8237.476999999999,1372.912833333333,ME U
Tillicoultry,MOUSA ELLA UPPER DIV,11A,41,VP,5.0,6819.720400000001,1363.9440800000002,ME U
Tillicoultry,MOUSA ELLA UPPER DIV,11B,0,VP,4.25,4534.0449,1066.834094117647,ME U
Tillicoultry,MOUSA ELLA UPPER DIV,14B,25,SD,6.94,4217.6284,607.7274351585013,ME U
Tillicoultry,MOUSA ELLA UPPER DIV,17,40,SD,6.5,4259.717,655.3410769230769,ME U
Bambrakelly,BAMBRAKELLY,5,10,VP,0.35,462.7,1322.0,BK
Bambrakelly,BAMBRAKELLY,6D,3,VP,3.0,2196.0,732.0,BK
Bambrakelly,BAMBRAKELLY,10,4,VP,2.75,1787.5,650.0,BK
Bambrakelly,BAMBRAKELLY,1,4,VP,4.75,2213.5,466.0,BK
Bambrakelly,BAMBRAKELLY,3F,7,VP,2.5,1037.5,415.0,BK
Bambrakelly,BAMBRAKELLY,3C,8,VP,2.5,1140.0,456.0,BK
Bambrakelly,BAMBRAKELLY,3A,8,VP,2.0,860.0,430.0,BK
Bambrakelly,BAMBRAKELLY,7D,11,VP,3.5,3955.0,1130.0,BK
Bambrakelly,BAMBRAKELLY,1A,12,VP,2.0,2512.0,1256.0,BK
Bambrakelly,BAMBRAKELLY,4,13,VP,2.0,2958.0,1479.0,BK
Bambrakelly,BAMBRAKELLY,1B,15,VP,3.75,5793.75,1545.0,BK
Bambrakelly,BAMBRAKELLY,7A,17,VP,3.75,5025.0,1340.0,BK
Bambrakelly,BAMBRAKELLY,1C,18,VP,3.0,4596.0,1532.0,BK
Bambrakelly,BAMBRAKELLY,3B,22,VP,2.75,3187.25,1159.0,BK
Bambrakelly,BAMBRAKELLY,6C,22,VP,4.25,5984.0,1408.0,BK
Bambrakelly,BAMBRAKELLY,3D,23,VP,4.0,5828.0,1457.0,BK
Bambrakelly,BAMBRAKELLY,13,24,VP,2.0,2880.0,1440.0,BK
Bambrakelly,BAMBRAKELLY,5D,27,VP,4.0,4772.0,1193.0,BK
Bambrakelly,BAMBRAKELLY,3E,29,VP,1.5,2527.5,1685.0,BK
Bambrakelly,BAMBRAKELLY,3E1,29,VP,3.75,4173.75,1113.0,BK
Bambrakelly,BAMBRAKELLY,5B,33,VP,3.5,5519.5,1577.0,BK
Bambrakelly,BAMBRAKELLY,5C,33,VP,3.5,5624.5,1607.0,BK
Bambrakelly,BAMBRAKELLY,7B,34,VP,2.75,4273.5,1554.0,BK
Bambrakelly,BAMBRAKELLY,7C,34,VP,3.0,4074.0,1358.0,BK
Bambrakelly,BAMBRAKELLY,8A,37,VP,4.0,5560.0,1390.0,BK
Bambrakelly,BAMBRAKELLY,12,39,VP,2.5,3232.5,1293.0,BK
Bambrakelly,BAMBRAKELLY,2B,41,VP,2.0,3224.0,1612.0,BK
Bambrakelly,BAMBRAKELLY,4A,41,VP,4.0,5828.0,1457.0,BK
Bambrakelly,BAMBRAKELLY,11,46,VP,3.0,2730.0,910.0,BK
Bambrakelly,BAMBRAKELLY,11A,46,VP,3.75,2857.5,762.0,BK
Bambrakelly,UPPER CRANLEY,11A,2,VP,2.0,1944.0,972.0,UC
Bambrakelly,UPPER CRANLEY,8A,4,VP,5.25,1538.25,293.0,UC
Bambrakelly,UPPER CRANLEY,7C,9,VP,3.5,987.0,282.0,UC
Bambrakelly,UPPER CRANLEY,7A,9,VP,3.0,1365.0,455.0,UC
Bambrakelly,UPPER CRANLEY,4A,11,VP,4.0,2796.0,699.0,UC
Bambrakelly,UPPER CRANLEY,4B,13,VP,2.25,3114.0,1384.0,UC
Bambrakelly,UPPER CRANLEY,9,19,VP,2.22,4921.740000000001,2217.0,UC
Bambrakelly,UPPER CRANLEY,11,20,VP,1.5,4069.5,2713.0,UC
Bambrakelly,UPPER CRANLEY,2A,22,VP,3.0,6105.0,2035.0,UC
Bambrakelly,UPPER CRANLEY,2E,22,VP,2.75,4105.75,1493.0,UC
Bambrakelly,UPPER CRANLEY,10A,25,VP,4.25,6761.75,1591.0,UC
Bambrakelly,UPPER CRANLEY,6A,27,VP,5.0,7995.0,1599.0,UC
Bambrakelly,UPPER CRANLEY,12,35,VP,2.5,3537.5,1415.0,UC
Bambrakelly,UPPER CRANLEY,2C,39,VP,4.25,5074.5,1194.0,UC
Bambrakelly,UPPER CRANLEY,2D,39,VP,4.0,5004.0,1251.0,UC
Bambrakelly,UPPER CRANLEY,2B,54,VP,4.0,5824.0,1456.0,UC
Bambrakelly,UPPER CRANLEY,2F,54,VP,3.25,4462.25,1373.0,UC
Bambrakelly,UPPER CRANLEY,10C,1,VP,4.5,3663.0,814.0,UC
Bambrakelly,UPPER CRANLEY,7,4,SD,2.25,247.5,110.0,UC
Bambrakelly,UPPER CRANLEY,1A,13,SD,3.5,1753.5,501.0,UC
Bambrakelly,UPPER CRANLEY,1,14,SD,4.0,2076.0,519.0,UC
Bambrakelly,UPPER CRANLEY,1B,16,SD,4.0,2204.0,551.0,UC
Bambrakelly,UPPER CRANLEY,1C,19,SD,3.5,1806.0,516.0,UC
Bambrakelly,UPPER CRANLEY,6,30,SD,3.75,1683.75,449.0,UC
Bambrakelly,UPPER CRANLEY,6B,30,SD,3.0,1365.0,455.0,UC
Bambrakelly,UPPER CRANLEY,3A,41,SD,3.5,147.0,42.0,UC
Bambrakelly,UPPER CRANLEY,3C,41,SD,3.0,0.0,0.0,UC
Bambrakelly,UPPER CRANLEY,3,41,SD,3.0,120.0,40.0,UC
Bambrakelly,UPPER CRANLEY,3B,41,SD,3.0,0.0,0.0,UC
Bambrakelly,RAHANWATTE,5D,3,VP,2.25,297.0,132.0,RW
Bambrakelly,RAHANWATTE,3B,5,VP,3.75,870.0,232.0,RW
Bambrakelly,RAHANWATTE,5B,8,VP,3.0,906.0,302.0,RW
Bambrakelly,RAHANWATTE,3A,9,VP,4.0,0.0,0.0,RW
Bambrakelly,RAHANWATTE,3,11,VP,3.75,2553.75,681.0,RW
Bambrakelly,RAHANWATTE,3C,12,VP,3.0,2709.0,903.0,RW
Bambrakelly,RAHANWATTE,4,16,VP,2.0,2608.0,1304.0,RW
Bambrakelly,RAHANWATTE,4C,19,VP,2.5,3547.5,1419.0,RW
Bambrakelly,RAHANWATTE,4D,20,VP,2.0,2904.0,1452.0,RW
Bambrakelly,RAHANWATTE,5C,22,VP,2.5,2670.0,1068.0,RW
Bambrakelly,RAHANWATTE,5A,25,VP,3.0,4005.0,1335.0,RW
Bambrakelly,RAHANWATTE,5,33,VP,4.0,5084.0,1271.0,RW
Bambrakelly,RAHANWATTE,5E,33,VP,4.0,4872.0,1218.0,RW
Bambrakelly,RAHANWATTE,6B,36,VP,2.0,1512.0,756.0,RW
Bambrakelly,RAHANWATTE,6A,36,VP,2.0,1560.0,780.0,RW
Bambrakelly,RAHANWATTE,2B,41,VP,3.25,3773.25,1161.0,RW
Bambrakelly,RAHANWATTE,2C,41,VP,3.5,2254.0,644.0,RW
Bambrakelly,RAHANWATTE,2,10,SD,4.0,436.0,109.0,RW
Bambrakelly,RAHANWATTE,2D,11,SD,4.0,444.0,111.0,RW
Bambrakelly,RAHANWATTE,1A,31,SD,4.0,736.0,184.0,RW
Bambrakelly,RAHANWATTE,1A1,31,SD,4.0,592.0,148.0,RW
Bambrakelly,RAHANWATTE,2A,61,SD,5.27,442.67999999999995,84.0,RW
Bambrakelly,RAHANWATTE,2A1,61,SD,4.0,248.0,62.0,RW
Bambrakelly,RAHANWATTE,1,72,SD,4.0,248.0,62.0,RW
Bambrakelly,RAHANWATTE,1B,72,SD,4.0,304.0,76.0,RW
Bambrakelly,DELL,1C,22,VP,2.0,3038.0,1519.0,DL
Bambrakelly,DELL,1B,22,VP,2.0,2496.0,1248.0,DL
Bambrakelly,DELL,1A,32,VP,3.5,4109.0,1174.0,DL
Bambrakelly,DELL,1,37,VP,2.0,3012.0,1506.0,DL
Bambrakelly,DELL,2B,49,VP,3.5,3559.5,1017.0,DL
Bambrakelly,DELL,6,5,SD,3.5,717.5,205.0,DL
Bambrakelly,DELL,6A,11,SD,3.5,122.5,35.0,DL
Bambrakelly,DELL,3,20,SD,4.0,1936.0,484.0,DL
Bambrakelly,DELL,3A,25,SD,3.0,1809.0,603.0,DL
Bambrakelly,DELL,2,36,SD,2.0,1378.0,689.0,DL
Bambrakelly,QUEEN WOOD,1C,14,SD,3.0,1803.0,601.0,QW
Bambrakelly,QUEEN WOOD,1,18,SD,3.0,1896.0,632.0,QW
Bambrakelly,QUEEN WOOD,4H,4,VP,2.0,1182.0,591.0,QW
Bambrakelly,QUEEN WOOD,4D,8,VP,2.5,1330.0,532.0,QW
Bambrakelly,QUEEN WOOD,4C,9,VP,2.5,1735.0,694.0,QW
Bambrakelly,QUEEN WOOD,3A,11,VP,1.0,1163.0,1163.0,QW
Bambrakelly,QUEEN WOOD,4,19,VP,2.0,2840.0,1420.0,QW
Bambrakelly,QUEEN WOOD,1A,21,VP,2.0,3136.0,1568.0,QW
Bambrakelly,QUEEN WOOD,1B,25,VP,3.0,3906.0,1302.0,QW
Bambrakelly,QUEEN WOOD,4E,28,VP,2.0,2942.0,1471.0,QW
Bambrakelly,QUEEN WOOD,4F,36,VP,1.0,1607.0,1607.0,QW
Bambrakelly,QUEEN WOOD,3B,36,VP,1.0,1575.0,1575.0,QW
Bambrakelly,QUEEN WOOD,4A,40,VP,1.0,1664.0,1664.0,QW
