estate,division,field_no,age_months,sd_vp,hect,crop,yph,code
Pedro,Pedro,11C,4,VP,4.6,3367.2,732.0,PD
Pedro,Pedro,13,4,VP,4.0,2368.0,592.0,PD
Pedro,Pedro,10/2,4,VP,1.0,946.0,946.0,PD
Pedro,Pedro,9,5,VP,4.0,1324.0,331.0,PD
Pedro,Pedro,6A,12,VP,1.0,988.0,988.0,PD
Pedro,Pedro,4A,12,VP,1.0,1172.0,1172.0,PD
Pedro,Pedro,13A,14,VP,3.7,2316.2000000000003,626.0,PD
Pedro,Pedro,7/18,17,VP,1.0,1131.0,1131.0,PD
Pedro,Pedro,11A,27,VP,6.0,10974.0,1829.0,PD
Pedro,Pedro,2,29,VP,6.75,11886.75,1761.0,PD
Pedro,Pedro,NUR-186,35,VP,0.5,1000.0,2000.0,PD
Pedro,Pedro,8B/22,35,VP,1.0,2145.0,2145.0,PD
Pedro,Pedro,7/21,35,VP,0.5,1035.0,2070.0,PD
Pedro,Pedro,9/1,37,VP,6.1,12505.0,2050.0,PD
Pedro,Pedro,7A,42,VP,2.0,3722.0,1861.0,PD
Pedro,Pedro,14,52,VP,1.0,1912.0,1912.0,PD
Pedro,Pedro,15,53,VP,1.0,1909.0,1909.0,PD
Pedro,Pedro,8B1,55,VP,0.5,1089.0,2178.0,PD
Pedro,Pedro,11B,56,VP,4.75,9538.0,2008.0,PD
Pedro,Pedro,8B/23,59,VP,1.0,1893.0,1893.0,PD
Pedro,Pedro,11D,62,VP,7.5,13140.0,1752.0,PD
Pedro,Pedro,5,17,SD,2.5,645.0,258.0,PD
Pedro,Pedro,10,35,SD,5.75,2449.5,426.0,PD
Pedro,Pedro,8B,51,SD,1.4,544.5999999999999,389.0,PD
Pedro,Pedro,5/1,61,SD,4.0,2476.0,619.0,PD
Pedro,LoversLeap,18B,4,VP,0.5,697.0,1394.0,LL
Pedro,LoversLeap,17B,4,VP,3.5,2257.5,645.0,LL
Pedro,LoversLeap,1B1,4,VP,2.0,1092.0,546.0,LL
Pedro,LoversLeap,1A/1,13,VP,3.5,2908.5,831.0,LL
Pedro,LoversLeap,12A,16,VP,2.0,2556.0,1278.0,LL
Pedro,LoversLeap,12/3,17,VP,1.0,1705.0,1705.0,LL
Pedro,LoversLeap,12,27,VP,1.74,2164.56,1244.0,LL
Pedro,LoversLeap,19,28,VP,4.75,7167.75,1509.0,LL
Pedro,LoversLeap,18A,29,VP,1.5,1875.0,1250.0,LL
Pedro,LoversLeap,1A,39,VP,3.5,4686.5,1339.0,LL
Pedro,LoversLeap,17A,51,VP,4.0,5968.0,1492.0,LL
Pedro,LoversLeap,3/24,52,VP,1.0,1585.0,1585.0,LL
Pedro,LoversLeap,1B,56,VP,3.25,3734.25,1149.0,LL
Pedro,LoversLeap,21,58,VP,3.25,4819.75,1483.0,LL
Pedro,LoversLeap,20,58,VP,6.5,6695.0,1030.0,LL
