estate,division,field_no,age_months,sd_vp,hect,crop,yph,code
Calsay,Calsay,3B,2.0,VP,3.0,1932.0,644.0,CA
Calsay,Calsay,5A,2.0,VP,5.0,2630.0,526.0,CA
Calsay,Calsay,5B,4.0,VP,5.25,2157.75,411.0,CA
Calsay,Calsay,2NC,9.0,VP,2.5,1902.5,761.0,CA
Calsay,Calsay,4B,15.0,VP,6.25,7431.25,1189.0,CA
Calsay,Calsay,8B,17.0,VP,4.75,5524.25,1163.0,CA
Calsay,Calsay,6A,27.0,VP,6.5,8216.0,1264.0,CA
Calsay,Calsay,2B,39.0,VP,4.0,4660.0,1165.0,CA
Calsay,Calsay,1A,39.0,VP,7.0,8071.0,1153.0,CA
Calsay,Calsay,3A,51.0,VP,5.5,6644.0,1208.0,CA
Calsay,Calsay,4A,51.0,VP,3.5,4315.5,1233.0,CA
Calsay,Calsay,7A,51.0,VP,2.0,2506.0,1253.0,CA
Calsay,Calsay,8A,51.0,VP,4.5,5206.5,1157.0,CA
Calsay,Calsay,2A,63.0,VP,3.0,3102.0,1034.0,CA
Calsay,Calsay,12,3.0,SD,6.75,1005.75,149.0,CA
Calsay,Calsay,11,17.0,SD,8.5,3825.0,450.0,CA
Calsay,Calsay,9,27.0,SD,10.25,5114.75,499.0,CA
Calsay,Calsay,10,27.0,SD,7.75,3510.75,453.0,CA
Calsay,Maha Eliya,11A,2.0,VP,5.0,2875.0,575.0,ME
Calsay,Maha Eliya,10A,10.0,VP,6.0,5226.0,871.0,ME
Calsay,Maha Eliya,11B,15.0,VP,4.0,5184.0,1296.0,ME
Calsay,Maha Eliya,2B,17.0,VP,5.5,7408.5,1347.0,ME
Calsay,Maha Eliya,1B,17.0,VP,4.0,5296.0,1324.0,ME
Calsay,Maha Eliya,2A,27.0,VP,2.5,3245.0,1298.0,ME
Calsay,Maha Eliya,13A,27.0,VP,4.75,6175.0,1300.0,ME
Calsay,Maha Eliya,10B,27.0,VP,6.5,8547.5,1315.0,ME
Calsay,Maha Eliya,7ANC,39.0,VP,7.0,9128.0,1304.0,ME
Calsay,Maha Eliya,12A,39.0,VP,4.5,5499.0,1222.0,ME
Calsay,Maha Eliya,12B,39.0,VP,3.75,4927.5,1314.0,ME
Calsay,Maha Eliya,1A,51.0,VP,3.0,3597.0,1199.0,ME
Calsay,Maha Eliya,4/1B,51.0,VP,1.0,999.0,999.0,ME
Calsay,Maha Eliya,5ANC,51.0,VP,5.5,6116.0,1112.0,ME
Calsay,Maha Eliya,8,3.0,SD,8.5,3247.0,382.0,ME
Calsay,Maha Eliya,9,14.0,SD,9.0,3798.0,422.0,ME
Calsay,Maha Eliya,5A,27.0,SD,3.75,2433.75,649.0,ME
Calsay,Maha Eliya,7A,27.0,SD,5.0,3640.0,728.0,ME
Clarendon,Avoca,5B,2.0,VP,3.5,3440.5,983.0,AV
Clarendon,Avoca,4A,17.0,VP,4.0,7012.0,1753.0,AV
Clarendon,Avoca,5C,27.0,VP,4.0,7884.0,1971.0,AV
Clarendon,Avoca,5A,39.0,VP,2.0,4170.0,2085.0,AV
Clarendon,Avoca,3/I1,5.0,SD,5.03,2836.92,564.0,AV
Clarendon,Avoca,2,9.0,SD,6.38,2028.84,318.0,AV
Clarendon,Avoca,4,14.0,SD,5.07,2925.3900000000003,577.0,AV
Clarendon,Avoca,5,17.0,SD,5.55,3146.85,567.0,AV
Clarendon,Avoca,3/I,27.0,SD,6.0,3384.0,564.0,AV
Clarendon,Avoca,1,38.0,SD,5.5,2887.5,525.0,AV
Clarendon,Lower,7A,2.0,VP,6.33,3994.23,631.0,CL
Clarendon,Lower,7B,3.0,VP,3.0,2487.0,829.0,CL
Clarendon,Lower,5II,4.0,VP,5.53,2521.6800000000003,456.0,CL
Clarendon,Lower,5/I,14.0,VP,6.0,5496.0,916.0,CL
Clarendon,Lower,5A,17.0,VP,3.68,3426.08,931.0,CL
Clarendon,Lower,6A,17.0,VP,3.54,3596.64,1016.0,CL
Clarendon,Lower,10B,28.0,VP,4.0,5144.0,1286.0,CL
Clarendon,Lower,9/I,38.0,VP,3.0,2946.0,982.0,CL
Clarendon,Lower,9/II,47.0,VP,4.63,5417.099999999999,1170.0,CL
Clarendon,Lower,10A,51.0,VP,6.17,6898.0599999999995,1118.0,CL
Clarendon,Lower,6/I,26.0,SD,4.0,1324.0,331.0,CL
Clarendon,Lower,7,27.0,SD,2.65,622.75,235.0,CL
Clarendon,Upper,1B,3.0,VP,2.5,1942.5,777.0,CU
Clarendon,Upper,3A,14.0,VP,4.0,4616.0,1154.0,CU
Clarendon,Upper,4A,28.0,VP,3.5,5173.0,1478.0,CU
Clarendon,Upper,1A,40.0,VP,5.25,6609.75,1259.0,CU
Clarendon,Upper,3,51.0,VP,3.75,4365.0,1164.0,CU
Clarendon,Upper,1,51.0,VP,3.56,4040.6,1135.0,CU
Clarendon,Upper,2,17.0,SD,2.5,702.5,281.0,CU
Clarendon,Upper,411,27.0,SD,4.0,788.0,197.0,CU
Clarendon,Upper,41,27.0,SD,5.24,1048.0,200.0,CU
Clarendon,Upper,81,37.0,SD,3.5,1354.5,387.0,CU
Clarendon,Upper,811,37.0,SD,4.71,1813.35,385.0,CU
Dessford,Dessford,3A1,2.0,VP,3.0,1884.0,628.0,DF
Dessford,Dessford,4A1,2.0,VP,5.75,3013.0,524.0,DF
Dessford,Dessford,4C,10.0,VP,4.75,3068.5,646.0,DF
Dessford,Dessford,2C,15.0,VP,5.0,5565.0,1113.0,DF
Dessford,Dessford,2C1,15.0,VP,3.5,4431.0,1266.0,DF
Dessford,Dessford,2B2,17.0,VP,1.5,1746.0,1164.0,DF
Dessford,Dessford,4A2,17.0,VP,5.75,7785.5,1354.0,DF
Dessford,Dessford,3A,28.0,VP,6.4,6726.400000000001,1051.0,DF
Dessford,Dessford,2B,28.0,VP,2.75,2805.0,1020.0,DF
Dessford,Dessford,4D,28.0,VP,4.0,3584.0,896.0,DF
Dessford,Dessford,4D1,28.0,VP,3.75,3547.5,946.0,DF
Dessford,Dessford,4B,39.0,VP,4.0,3304.0,826.0,DF
