estate,division,field_no,bc,age_months,sd_vp,hect,crop,yph,code
Deniyaya,Diyadawa,09A1,8400,5.0,VP,1.0,1280.510608184,1280.510608184,DY
Deniyaya,Diyadawa,09B1,13422,5.13333333333333,VP,1.05,1046.3560125104782,996.529535724265,DY
Deniyaya,Diyadawa,08B,34375,9.23333333333333,VP,6.25,2253.1946168939876,360.511138703038,DY
Deniyaya,Diyadawa,09A,7150,15.9333333333333,VP,1.0,1666.70626272242,1666.70626272242,DY
Deniyaya,Diyadawa,08A,24800,15.9333333333333,VP,4.0,2019.8896626935,504.972415673375,DY
Deniyaya,Diyadawa,07B,21960,20.4,VP,2.0,2391.63466220352,1195.81733110176,DY
Deniyaya,Diyadawa,09B,18750,27.5,VP,1.45,4090.283067364293,2820.88487404434,DY
Deniyaya,Diyadawa,09C,22200,39.5666666666667,VP,2.0,3227.95118861014,1613.97559430507,DY
Deniyaya,DownSide,25A,50300,1.74193548387097,VP,4.45,3366.472861559428,756.510755406613,DS
Deniyaya,DownSide,30,13150,4.0,VP,1.0,2199.48636403188,2199.48636403188,DS
Deniyaya,DownSide,25,46100,4.0,VP,3.5,3889.1481083066847,1111.18517380191,DS
Deniyaya,DownSide,26,32000,9.80645161290323,VP,2.5,2686.3442797192,1074.53771188768,DS
Deniyaya,DownSide,29,10800,13.1935483870968,VP,1.0,1027.05000875197,1027.05000875197,DS
Deniyaya,DownSide,32,69800,15.5161290322581,VP,6.25,5730.591162940163,916.894586070426,DS
Deniyaya,DownSide,30A,5150,15.7741935483871,VP,0.35,654.576135765328,1870.21753075808,DS
Deniyaya,DownSide,30C,63700,19.7741935483871,VP,4.9,4214.768320936709,860.156800191165,DS
Deniyaya,DownSide,29A,16500,20.258064516129,VP,2.05,3356.617886411239,1637.37457873719,DS
Deniyaya,DownSide,32A,33500,21.258064516129,VP,3.1,6023.3075945783075,1943.00244986397,DS
Deniyaya,DownSide,24,48500,23.6451612903226,VP,4.25,4558.285442813988,1072.53775125035,DS
Deniyaya,DownSide,27,2560,28.5806451612903,VP,2.75,2203.685140598568,801.340051126752,DS
Deniyaya,DownSide,30B,16700,28.5806451612903,SD,2.95,3935.3378683474525,1334.01283672795,DS
Deniyaya,DownSide,29B,13750,32.5161290322581,VP,1.0,1007.99749049163,1007.99749049163,DS
Deniyaya,DownSide,28A,13100,36.3870967741936,VP,1.85,2166.2823769238225,1170.96344698585,DS
Deniyaya,DownSide,31,28750,36.3870967741936,VP,2.55,2787.1627758859677,1093.00501015136,DS
Deniyaya,Handford,10B,25600,2.0,VP,2.0,1019.397015477072,509.698507738536,HF
Deniyaya,Handford,3,27375,3.70967741935484,VP,1.5,3021.0513662139,2014.0342441426,HF
Deniyaya,Handford,18B,41627,3.70967741935484,VP,3.6,3992.4,1109.0,HF
Deniyaya,Handford,15B,60800,9.23333333333333,VP,4.0,6692.0,1673.0,HF
Deniyaya,Handford,2,32988,9.87096774193548,VP,3.83,3994.69,1043.0,HF
Deniyaya,Handford,19,45500,12.8064516129032,VP,5.0,2960.0,592.0,HF
Deniyaya,Handford,12,47790,15.7741935483871,VP,5.0,4905.0,981.0,HF
Deniyaya,Handford,15,18425,16.6451612903226,VP,1.5,3205.5,2137.0,HF
Deniyaya,Handford,9A,31700,20.7741935483871,VP,4.0,4564.0,1141.0,HF
Deniyaya,Handford,10A,12000,20.7741935483871,VP,1.0,1962.0,1962.0,HF
Deniyaya,Handford,9B,9075,26.8064516129032,VP,1.5,1107.0,738.0,HF
Deniyaya,Handford,13,31366,27.5806451612903,VP,3.35,4468.900000000001,1334.0,HF
Deniyaya,Handford,1,7400,30.5483870967742,VP,1.0,907.0,907.0,HF
Deniyaya,Handford,11,41575,32.2258064516129,VP,5.61,4117.74,734.0,HF
Deniyaya,Handford,16,38000,32.5161290322581,VP,2.8,5636.4,2013.0,HF
Deniyaya,Handford,12A,56717,35.9677419354839,VP,6.4,4908.8,767.0,HF
Deniyaya,Handford,7,36395,36.1290322580645,VP,5.15,3563.8,692.0,HF
Deniyaya,Ihalakanda,4,6319,0.516129032258065,VP,1.0,711.693569627826,711.693569627826,IH
Deniyaya,Ihalakanda,3,8210,3.03225806451613,SD,1.65,299.49859978888077,181.514302902352,IH
Deniyaya,Ihalakanda,3A,12752,6.83870967741935,VP,1.85,1480.0,800.0,IH
Deniyaya,Ihalakanda,3B,6941,7.96774193548387,VP,0.5,290.3144048733855,580.628809746771,IH
Deniyaya,Ihalakanda,2A,18253,15.3870967741935,VP,3.0,597.8712163432771,199.290405447759,IH
Deniyaya,Ihalakanda,4A,9065,19.4516129032258,VP,1.25,1096.9372391707288,877.549791336583,IH
Deniyaya,Ihalakanda,2B,3244,27.5806451612903,VP,1.4,754.7168121349878,539.083437239277,IH
Deniyaya,Lower,14,30495,2.83870967741935,VP,4.9,2371.6000000000004,484.0,DEL
Deniyaya,Lower,16,12863,15.741935483871,VP,2.0,1509.86161372994,754.93080686497,DEL
Deniyaya,Lower,12A,21565,19.741935483871,SD,5.6,942.924344509067,168.379347233762,DEL
Deniyaya,Lower,8A,21403,24.4193548387097,VP,2.3,3340.8365827651037,1452.53764468048,DEL
Deniyaya,Lower,11,14616,26.6129032258065,VP,2.0,1752.15342796443,876.076713982215,DEL
Deniyaya,Lower,12B,20971,27.4516129032258,SD,4.85,1008.8404224622258,208.008334528294,DEL
Deniyaya,Lower,10,40470,32.5161290322581,VP,4.75,4272.63031549358,899.50111905128,DEL
Deniyaya,Lower,17,11824,33.5161290322581,VP,2.0,1169.393734730784,584.696867365392,DEL
Deniyaya,Top,6,10800,1.0,VP,1.0,663.955086684331,663.955086684331,TP
Deniyaya,Top,6C,21608,3.03225806451613,VP,1.9,1812.5601133740997,953.979007039,TP
Deniyaya,Top,4,34107,8.93548387096774,VP,2.7,3731.097346305111,1381.88790603893,TP
Deniyaya,Top,3,57031,16.7741935483871,VP,5.0,8621.00620192145,1724.20124038429,TP
Deniyaya,Top,4A,34361,20.7096774193548,VP,2.85,5359.3041795738,1880.457606868,TP
Deniyaya,Top,2,23302,21.258064516129,VP,2.27,2491.04723380424,1097.37763603711,TP
Deniyaya,Top,6B,41270,25.6129032258065,VP,6.0,2807.908297489428,467.984716248238,TP
Deniyaya,Top,7A,23830,32.5161290322581,VP,2.0,5077.25715742024,2538.62857871012,TP
Indola,Indola,1A,3207,10.0,VP,1.0,834.0,834.0,IN
Indola,Indola,3A,16600,10.0,VP,1.0,1454.0,1454.0,IN
Indola,Indola,6,12306,27.0,VP,2.19,3749.2799999999997,1712.0,IN
Indola,Indola,4A,41122,34.0,VP,3.0,4107.0,1369.0,IN
Indola,Indola,3,6102,41.0,VP,3.07,2618.71,853.0,IN
Indola,Moragahahena,1A,5936,27.0,SD,2.75,1045.0,380.0,MG
Indola,Moragahahena,6A,3040,4.0,VP,1.78,587.4,330.0,MG
Indola,Moragahahena,7,4297,10.0,VP,1.0,760.0,760.0,MG
Indola,Moragahahena,5,13885,16.0,VP,2.97,2981.88,1004.0,MG
Indola,Moragahahena,4A,657,22.0,VP,0.66,427.02000000000004,647.0,MG
Indola,Moragahahena,6,7325,22.0,VP,1.0,1727.0,1727.0,MG
Indola,Moragahahena,4,3284,34.0,VP,2.5,987.5,395.0,MG
Indola,Moragahahena,5A,2814,41.0,VP,1.0,933.0,933.0,MG
Indola,Serugahahena,3,2860,4.0,SD,2.5,795.0,318.0,SH
Indola,Serugahahena,1A,8964,10.0,SD,2.0,1224.0,612.0,SH
Indola,Serugahahena,1,7385,22.0,SD,2.1,1694.7,807.0,SH
Indola,Serugahahena,2,1990,16.0,VP,1.0,1185.0,1185.0,SH
Indola,Serugahahena,4,10798,27.0,VP,2.25,2625.75,1167.0,SH
Indola,Ehelakanda,4,7107,3.0,VP,3.83,815.79,213.0,EH
Indola,Ehelakanda,1A,7128,10.0,VP,1.0,1312.0,1312.0,EH
Indola,Ehelakanda,1C,5603,16.0,VP,1.0,1650.0,1650.0,EH
Indola,Ehelakanda,7,7523,22.0,VP,1.0,1712.0,1712.0,EH
Indola,Ehelakanda,1B,30104,34.0,VP,4.0,5816.0,1454.0,EH
Indola,Mawarala,1,3233,34.0,SD,1.42,1405.8,990.0,MW
Indola,Mawarala,10,15200,3.0,VP,1.9,1563.6999999999998,823.0,MW
Indola,Mawarala,2B,21656,10.0,VP,2.0,1986.0,993.0,MW
Indola,Mawarala,5A,8055,10.0,VP,1.0,1303.0,1303.0,MW
Indola,Mawarala,15,29990,10.0,VP,2.0,4276.0,2138.0,MW
Indola,Mawarala,2A,20502,16.0,VP,2.0,3104.0,1552.0,MW
Indola,Mawarala,3,11050,16.0,VP,2.0,2192.0,1096.0,MW
Indola,Mawarala,9A,36391,18.0,VP,2.95,5855.75,1985.0,MW
Indola,Mawarala,7B,16859,22.0,VP,1.72,3252.52,1891.0,MW
Indola,Mawarala,7A,16112,28.0,VP,1.56,3180.84,2039.0,MW
