estate,division,field_no,age_months,sd_vp,hect,crop,yph,code
Alton,UPPER,4B,3.033333333333333,VP,4.75,2360.75,497.0,UP
Alton,UPPER,1ANC,5.866666666666666,VP,1.5,777.0,518.0,UP
Alton,UPPER,2B,9.133333333333333,VP,5.3,1325.0,250.0,UP
Alton,UPPER,7ANC,18.5,VP,4.81,6455.0199999999995,1342.0,UP
Alton,UPPER,2BI,20.53333333333333,VP,5.0,4485.0,897.0,UP
Alton,UPPER,6A,24.33333333333333,VP,5.0,5705.0,1141.0,UP
Alton,UPPER,6,26.666666666666668,VP,5.0,6010.0,1202.0,UP
Alton,UPPER,4A,32.5,VP,5.0,6415.0,1283.0,UP
Alton,UPPER,4AI,32.5,VP,5.0,5840.0,1168.0,UP
Alton,UPPER,1AD,32.766666666666666,VP,1.0,1410.0,1410.0,UP
Alton,UPPER,5,36.5,VP,4.0,5156.0,1289.0,UP
Alton,UPPER,5A,39.56666666666667,VP,4.0,4632.0,1158.0,UP
Alton,UPPER,3ANC,39.73333333333333,VP,1.58,2050.84,1298.0,UP
Alton,UPPER,7B,40.56666666666667,VP,4.0,4120.0,1030.0,UP
Alton,UPPER,1NC,41.6,VP,1.4,1505.0,1075.0,UP
Alton,UPPER,3B,45.66666666666666,VP,7.5,7815.0,1042.0,UP
Alton,UPPER,3NC,46.7,VP,6.33,6659.16,1052.0,UP
Alton,UPPER,1A,17.466666666666665,SD,2.5,1425.0,570.0,UP
Alton,UPPER,2A,20.53333333333333,SD,6.0,2382.0,397.0,UP
Alton,UPPER,1B,32.5,SD,5.0,2325.0,465.0,UP
Alton,LOWER,9B,3.033333333333333,VP,4.22,2304.12,546.0,LW
Alton,LOWER,9A,9.133333333333333,VP,7.15,2910.05,407.0,LW
Alton,LOWER,8CNC,12.8,VP,2.0,1492.0,746.0,LW
Alton,LOWER,9BI,20.53333333333333,VP,4.0,4732.0,1183.0,LW
Alton,LOWER,10A,26.666666666666668,VP,7.49,10553.41,1409.0,LW
Alton,LOWER,8BNC,26.666666666666668,VP,2.0,1990.0,995.0,LW
Alton,LOWER,8B2NC,28.666666666666668,VP,1.5,1099.5,733.0,LW
Alton,LOWER,10B,39.56666666666667,VP,7.71,10377.66,1346.0,LW
Alton,LOWER,8,45.66666666666666,VP,2.0,2392.0,1196.0,LW
Alton,LOWER,8BA,45.66666666666666,VP,2.0,2190.0,1095.0,LW
Alton,LOWER,8B2,18.5,SD,2.0,2046.0,1023.0,LW
Alton,LOWER,8A,21.566666666666663,SD,6.25,181.25,29.0,LW
Alton,LOWER,8C,41.6,SD,7.0,3115.0,445.0,LW
Alton,BEACONSFIELD,2A,9.133333333333333,VP,4.0,1640.0,410.0,BF
Alton,BEACONSFIELD,2AI,9.133333333333333,VP,3.2,1561.6000000000001,488.0,BF
Alton,BEACONSFIELD,4NC,19.53333333333333,VP,3.79,5442.44,1435.9999999999998,BF
Alton,BEACONSFIELD,1A,23.566666666666663,VP,5.5,8052.0,1464.0,BF
Alton,BEACONSFIELD,5ANC,26.666666666666668,VP,2.0,2778.0,1389.0,BF
Alton,BEACONSFIELD,5NC,26.666666666666668,VP,2.0,2984.0,1492.0,BF
Alton,BEACONSFIELD,3A,34.53333333333333,VP,5.25,7365.75,1403.0,BF
Alton,BEACONSFIELD,3,40.56666666666667,VP,4.0,5700.0,1425.0,BF
Alton,BEACONSFIELD,4A,41.6,VP,1.0,1419.0,1419.0,BF
Alton,BEACONSFIELD,1B,44.66666666666666,VP,3.5,5106.5,1459.0,BF
Alton,BEACONSFIELD,4,52.73333333333333,VP,4.0,3968.0,992.0,BF
Alton,BEACONSFIELD,7,39.56666666666667,SD,5.75,3053.25,531.0,BF
Alton,BEACONSFIELD,5,20.666666666666668,SD,6.0,3246.0,541.0,BF
Alton,KINCORA,8NC,4.033333333333333,VP,2.0,1832.0,916.0,KC
Alton,KINCORA,8ABNC,6.1,VP,2.0,1458.0,729.0,KC
Alton,KINCORA,9A4,9.133333333333333,VP,1.0,476.0,476.0,KC
Alton,KINCORA,6NC,9.133333333333333,VP,2.0,828.0,414.0,KC
Alton,KINCORA,3NC,11.333333333333334,VP,4.0,3404.0,851.0,KC
